panel_task_id,task_id,leg_id,phase,replicate,stage,lambda_state,direction,snapshot_index,snapshot_index_end,snapshot_time_ps,switch_ps,run_dir
84,8,wt_to_G190E,apo,2,switch,0,fwd,45,59,2327.273,500.0,switches/fwd_bundle045
85,9,wt_to_G190E,apo,2,switch,0,fwd,60,74,3069.697,500.0,switches/fwd_bundle060
86,10,wt_to_G190E,apo,2,switch,0,fwd,75,89,3812.121,500.0,switches/fwd_bundle075
87,11,wt_to_G190E,apo,2,switch,0,fwd,90,99,4554.545,500.0,switches/fwd_bundle090
88,12,wt_to_G190E,apo,2,switch,1,rev,0,14,100.000,500.0,switches/rev_bundle000
89,13,wt_to_G190E,apo,2,switch,1,rev,15,29,842.424,500.0,switches/rev_bundle015
90,14,wt_to_G190E,apo,2,switch,1,rev,30,44,1584.848,500.0,switches/rev_bundle030
91,15,wt_to_G190E,apo,2,switch,1,rev,45,59,2327.273,500.0,switches/rev_bundle045
92,16,wt_to_G190E,apo,2,switch,1,rev,60,74,3069.697,500.0,switches/rev_bundle060
93,17,wt_to_G190E,apo,2,switch,1,rev,75,89,3812.121,500.0,switches/rev_bundle075
94,18,wt_to_G190E,apo,2,switch,1,rev,90,99,4554.545,500.0,switches/rev_bundle090
95,0,wt_to_G190E,apo,3,em,,,,,,,em
96,1,wt_to_G190E,apo,3,equil,0,,,,,,eq_lambda0
97,2,wt_to_G190E,apo,3,extract,0,,,,,,snapshots/lambda0
98,3,wt_to_G190E,apo,3,equil,1,,,,,,eq_lambda1
99,4,wt_to_G190E,apo,3,extract,1,,,,,,snapshots/lambda1
100,5,wt_to_G190E,apo,3,switch,0,fwd,0,14,100.000,500.0,switches/fwd_bundle000
101,6,wt_to_G190E,apo,3,switch,0,fwd,15,29,842.424,500.0,switches/fwd_bundle015
102,7,wt_to_G190E,apo,3,switch,0,fwd,30,44,1584.848,500.0,switches/fwd_bundle030
103,8,wt_to_G190E,apo,3,switch,0,fwd,45,59,2327.273,500.0,switches/fwd_bundle045
104,9,wt_to_G190E,apo,3,switch,0,fwd,60,74,3069.697,500.0,switches/fwd_bundle060
105,10,wt_to_G190E,apo,3,switch,0,fwd,75,89,3812.121,500.0,switches/fwd_bundle075
106,11,wt_to_G190E,apo,3,switch,0,fwd,90,99,4554.545,500.0,switches/fwd_bundle090
107,12,wt_to_G190E,apo,3,switch,1,rev,0,14,100.000,500.0,switches/rev_bundle000
108,13,wt_to_G190E,apo,3,switch,1,rev,15,29,842.424,500.0,switches/rev_bundle015
109,14,wt_to_G190E,apo,3,switch,1,rev,30,44,1584.848,500.0,switches/rev_bundle030
110,15,wt_to_G190E,apo,3,switch,1,rev,45,59,2327.273,500.0,switches/rev_bundle045
111,16,wt_to_G190E,apo,3,switch,1,rev,60,74,3069.697,500.0,switches/rev_bundle060
112,17,wt_to_G190E,apo,3,switch,1,rev,75,89,3812.121,500.0,switches/rev_bundle075
113,18,wt_to_G190E,apo,3,switch,1,rev,90,99,4554.545,500.0,switches/rev_bundle090
