panel_task_id,task_id,leg_id,phase,replicate,stage,lambda_state,direction,snapshot_index,snapshot_index_end,snapshot_time_ps,switch_ps,run_dir
42,0,wt_to_Y181C,holo,1,em,,,,,,,em
43,1,wt_to_Y181C,holo,1,equil,0,,,,,,eq_lambda0
44,2,wt_to_Y181C,holo,1,extract,0,,,,,,snapshots/lambda0
45,3,wt_to_Y181C,holo,1,equil,1,,,,,,eq_lambda1
46,4,wt_to_Y181C,holo,1,extract,1,,,,,,snapshots/lambda1
47,5,wt_to_Y181C,holo,1,switch,0,fwd,0,99,100.000,100.0,switches/fwd_bundle000
48,6,wt_to_Y181C,holo,1,switch,1,rev,0,99,100.000,100.0,switches/rev_bundle000
49,0,wt_to_Y181C,holo,2,em,,,,,,,em
50,1,wt_to_Y181C,holo,2,equil,0,,,,,,eq_lambda0
51,2,wt_to_Y181C,holo,2,extract,0,,,,,,snapshots/lambda0
52,3,wt_to_Y181C,holo,2,equil,1,,,,,,eq_lambda1
53,4,wt_to_Y181C,holo,2,extract,1,,,,,,snapshots/lambda1
54,5,wt_to_Y181C,holo,2,switch,0,fwd,0,99,100.000,100.0,switches/fwd_bundle000
55,6,wt_to_Y181C,holo,2,switch,1,rev,0,99,100.000,100.0,switches/rev_bundle000
56,0,wt_to_Y181C,holo,3,em,,,,,,,em
57,1,wt_to_Y181C,holo,3,equil,0,,,,,,eq_lambda0
58,2,wt_to_Y181C,holo,3,extract,0,,,,,,snapshots/lambda0
59,3,wt_to_Y181C,holo,3,equil,1,,,,,,eq_lambda1
60,4,wt_to_Y181C,holo,3,extract,1,,,,,,snapshots/lambda1
61,5,wt_to_Y181C,holo,3,switch,0,fwd,0,99,100.000,100.0,switches/fwd_bundle000
62,6,wt_to_Y181C,holo,3,switch,1,rev,0,99,100.000,100.0,switches/rev_bundle000
63,0,wt_to_Y181C,apo,1,em,,,,,,,em
64,1,wt_to_Y181C,apo,1,equil,0,,,,,,eq_lambda0
65,2,wt_to_Y181C,apo,1,extract,0,,,,,,snapshots/lambda0
66,3,wt_to_Y181C,apo,1,equil,1,,,,,,eq_lambda1
67,4,wt_to_Y181C,apo,1,extract,1,,,,,,snapshots/lambda1
68,5,wt_to_Y181C,apo,1,switch,0,fwd,0,99,100.000,100.0,switches/fwd_bundle000
69,6,wt_to_Y181C,apo,1,switch,1,rev,0,99,100.000,100.0,switches/rev_bundle000
70,0,wt_to_Y181C,apo,2,em,,,,,,,em
71,1,wt_to_Y181C,apo,2,equil,0,,,,,,eq_lambda0
72,2,wt_to_Y181C,apo,2,extract,0,,,,,,snapshots/lambda0
73,3,wt_to_Y181C,apo,2,equil,1,,,,,,eq_lambda1
74,4,wt_to_Y181C,apo,2,extract,1,,,,,,snapshots/lambda1
75,5,wt_to_Y181C,apo,2,switch,0,fwd,0,99,100.000,100.0,switches/fwd_bundle000
76,6,wt_to_Y181C,apo,2,switch,1,rev,0,99,100.000,100.0,switches/rev_bundle000
77,0,wt_to_Y181C,apo,3,em,,,,,,,em
78,1,wt_to_Y181C,apo,3,equil,0,,,,,,eq_lambda0
79,2,wt_to_Y181C,apo,3,extract,0,,,,,,snapshots/lambda0
80,3,wt_to_Y181C,apo,3,equil,1,,,,,,eq_lambda1
81,4,wt_to_Y181C,apo,3,extract,1,,,,,,snapshots/lambda1
82,5,wt_to_Y181C,apo,3,switch,0,fwd,0,99,100.000,100.0,switches/fwd_bundle000
83,6,wt_to_Y181C,apo,3,switch,1,rev,0,99,100.000,100.0,switches/rev_bundle000
84,0,wt_to_Y318F,holo,1,em,,,,,,,em
85,1,wt_to_Y318F,holo,1,equil,0,,,,,,eq_lambda0
86,2,wt_to_Y318F,holo,1,extract,0,,,,,,snapshots/lambda0
87,3,wt_to_Y318F,holo,1,equil,1,,,,,,eq_lambda1
88,4,wt_to_Y318F,holo,1,extract,1,,,,,,snapshots/lambda1
89,5,wt_to_Y318F,holo,1,switch,0,fwd,0,99,100.000,100.0,switches/fwd_bundle000
90,6,wt_to_Y318F,holo,1,switch,1,rev,0,99,100.000,100.0,switches/rev_bundle000
91,0,wt_to_Y318F,holo,2,em,,,,,,,em
92,1,wt_to_Y318F,holo,2,equil,0,,,,,,eq_lambda0
93,2,wt_to_Y318F,holo,2,extract,0,,,,,,snapshots/lambda0
94,3,wt_to_Y318F,holo,2,equil,1,,,,,,eq_lambda1
95,4,wt_to_Y318F,holo,2,extract,1,,,,,,snapshots/lambda1
96,5,wt_to_Y318F,holo,2,switch,0,fwd,0,99,100.000,100.0,switches/fwd_bundle000
97,6,wt_to_Y318F,holo,2,switch,1,rev,0,99,100.000,100.0,switches/rev_bundle000
98,0,wt_to_Y318F,holo,3,em,,,,,,,em
99,1,wt_to_Y318F,holo,3,equil,0,,,,,,eq_lambda0
100,2,wt_to_Y318F,holo,3,extract,0,,,,,,snapshots/lambda0
101,3,wt_to_Y318F,holo,3,equil,1,,,,,,eq_lambda1
102,4,wt_to_Y318F,holo,3,extract,1,,,,,,snapshots/lambda1
103,5,wt_to_Y318F,holo,3,switch,0,fwd,0,99,100.000,100.0,switches/fwd_bundle000
104,6,wt_to_Y318F,holo,3,switch,1,rev,0,99,100.000,100.0,switches/rev_bundle000
105,0,wt_to_Y318F,apo,1,em,,,,,,,em
106,1,wt_to_Y318F,apo,1,equil,0,,,,,,eq_lambda0
107,2,wt_to_Y318F,apo,1,extract,0,,,,,,snapshots/lambda0
108,3,wt_to_Y318F,apo,1,equil,1,,,,,,eq_lambda1
109,4,wt_to_Y318F,apo,1,extract,1,,,,,,snapshots/lambda1
110,5,wt_to_Y318F,apo,1,switch,0,fwd,0,99,100.000,100.0,switches/fwd_bundle000
111,6,wt_to_Y318F,apo,1,switch,1,rev,0,99,100.000,100.0,switches/rev_bundle000
112,0,wt_to_Y318F,apo,2,em,,,,,,,em
113,1,wt_to_Y318F,apo,2,equil,0,,,,,,eq_lambda0
114,2,wt_to_Y318F,apo,2,extract,0,,,,,,snapshots/lambda0
115,3,wt_to_Y318F,apo,2,equil,1,,,,,,eq_lambda1
116,4,wt_to_Y318F,apo,2,extract,1,,,,,,snapshots/lambda1
117,5,wt_to_Y318F,apo,2,switch,0,fwd,0,99,100.000,100.0,switches/fwd_bundle000
118,6,wt_to_Y318F,apo,2,switch,1,rev,0,99,100.000,100.0,switches/rev_bundle000
119,0,wt_to_Y318F,apo,3,em,,,,,,,em
120,1,wt_to_Y318F,apo,3,equil,0,,,,,,eq_lambda0
121,2,wt_to_Y318F,apo,3,extract,0,,,,,,snapshots/lambda0
122,3,wt_to_Y318F,apo,3,equil,1,,,,,,eq_lambda1
123,4,wt_to_Y318F,apo,3,extract,1,,,,,,snapshots/lambda1
124,5,wt_to_Y318F,apo,3,switch,0,fwd,0,99,100.000,100.0,switches/fwd_bundle000
125,6,wt_to_Y318F,apo,3,switch,1,rev,0,99,100.000,100.0,switches/rev_bundle000
