penalty,combo_size,feature_combo,n_features_filtered,cv_folds,low_max_fold,inner_scoring,c_by_fold,c_mean,c_median,inner_best_score_mean,inner_best_score_std,tn,fp,fn,tp,accuracy,balanced_accuracy,macro_f1,macro_precision,macro_recall,roc_auc,average_precision
l1,4,binding_dg_electrostatic_mean|residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|ligand_entrance_distance_angstrom_mean,13,5,10.0,balanced_accuracy,"[1.0, 10.0, 10.0, 10.0, 10.0]",8.2,10.0,0.8555555555555554,0.06631853547951845,8,1,2,8,0.8421052631578947,0.8444444444444444,0.8421052631578947,0.8444444444444444,0.8444444444444444,0.8333333333333334,0.8852124183006536
l1,4,binding_dg_electrostatic_mean|residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|residue_min_distance_VAL108_angstrom_mean,13,5,10.0,balanced_accuracy,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,1.0,0.7944444444444445,0.12668615834434865,8,1,2,8,0.8421052631578947,0.8444444444444444,0.8421052631578947,0.8444444444444444,0.8444444444444444,0.8222222222222222,0.9088815789473684
l1,4,residue_min_distance_LYS101_angstrom_repstd|residue_min_distance_VAL179_angstrom_repstd|ligand_palm_depth_projection_angstrom_mean|ligand_entrance_distance_angstrom_mean,13,5,10.0,balanced_accuracy,"[10.0, 10.0, 1.0, 1.0, 1.0]",4.6,1.0,0.7777777777777777,0.08561686115234696,8,1,2,8,0.8421052631578947,0.8444444444444444,0.8421052631578947,0.8444444444444444,0.8444444444444444,0.811111111111111,0.8672988561146455
l1,4,binding_dg_electrostatic_mean|residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|ligand_palm_distance_angstrom_repstd,13,5,10.0,balanced_accuracy,"[10.0, 1.0, 10.0, 10.0, 10.0]",8.2,10.0,0.8055555555555556,0.0340206908719886,7,2,1,9,0.8421052631578947,0.8388888888888889,0.8403361344537814,0.8465909090909092,0.8388888888888889,0.9111111111111111,0.9413888888888888
l1,4,residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|residue_min_distance_VAL179_angstrom_repstd|ligand_entrance_distance_angstrom_mean,13,5,10.0,balanced_accuracy,"[1.0, 10.0, 1.0, 1.0, 1.0]",2.8,1.0,0.7666666666666667,0.09128709291752768,9,0,4,6,0.7894736842105263,0.8,0.7840909090909092,0.8461538461538461,0.8,0.8222222222222222,0.881060606060606
l1,5,binding_dg_electrostatic_mean|residue_min_distance_PRO225_angstrom_repstd|residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|ligand_pose_rmsd_angstrom_repstd,13,5,10.0,balanced_accuracy,"[1.0, 1.0, 1.0, 10.0, 1.0]",2.8,1.0,0.7888888888888889,0.031671539586087184,9,0,2,8,0.8947368421052632,0.9,0.8944444444444444,0.9090909090909092,0.9,0.8777777777777778,0.9305555555555556
l1,5,binding_dg_electrostatic_mean|residue_min_distance_LYS101_angstrom_repstd|residue_min_distance_TYR318_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|ligand_pose_rmsd_angstrom_repstd,13,5,10.0,balanced_accuracy,"[1.0, 1.0, 1.0, 10.0, 1.0]",2.8,1.0,0.7777777777777777,0.14163943093313286,9,0,2,8,0.8947368421052632,0.9,0.8944444444444444,0.9090909090909092,0.9,0.8777777777777778,0.9305555555555556
l1,5,binding_dg_electrostatic_mean|residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|ligand_pose_rmsd_angstrom_repstd|ligand_entrance_distance_angstrom_mean,13,5,10.0,balanced_accuracy,"[1.0, 1.0, 1.0, 10.0, 1.0]",2.8,1.0,0.7,0.13805304044210193,9,0,2,8,0.8947368421052632,0.9,0.8944444444444444,0.9090909090909092,0.9,0.8777777777777778,0.9305555555555556
l1,5,binding_dg_electrostatic_mean|residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|residue_min_distance_VAL106_angstrom_mean|ligand_entrance_distance_angstrom_mean,13,5,10.0,balanced_accuracy,"[1.0, 1.0, 1.0, 10.0, 10.0]",4.6,1.0,0.788888888888889,0.14380199006160874,9,0,2,8,0.8947368421052632,0.9,0.8944444444444444,0.9090909090909092,0.9,0.8555555555555556,0.9188235294117647
l1,5,binding_dg_electrostatic_mean|residue_min_distance_PRO225_angstrom_repstd|residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|ligand_palm_depth_projection_angstrom_mean,13,5,10.0,balanced_accuracy,"[10.0, 10.0, 1.0, 10.0, 10.0]",8.2,10.0,0.7833333333333333,0.13088021099321942,8,1,1,9,0.8947368421052632,0.8944444444444444,0.8944444444444444,0.8944444444444444,0.8944444444444444,0.9444444444444444,0.9666666666666667
